Attribute,Video Games,Anime,Dogs,Sports,Cooking,Adrenaline,Helping people,Gambling,Crafting,Moose tracks ice cream,Vanilla ice cream,Sorbet,Pissing outdoors,Feeling tall,Power over others,Spoiling movies,Movies,Cereal,Milk,Mint Chocolate Chip ice cream,Needles,Bad legislation,Reading,Really salty chips,Shrimp,Board games,Jump rope,Hell,Trucks,AMERICA ðŸ¦…,Space,Scaling things,Being competitive,Their partner,Cats,Heaven,Flirting,Chaos,Overscoping projects,Overly sweet coffee,Sweater Weather,Grass
Video Games,0,0,0,#Major fight ensues when a sport enthusiast said Esports is not a real sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Wild person spotted running and waving around needles,0,0,0,0,*Board Games > Video Games,0,0,0,0,0,0,0,#Me or the PS5: partners discuss priorites... solution - divorce,0,0,0,0,0,0,0,#Gamers forced to touch grass... proceeds to file lawsuits
Anime,0,0,0,*Sports Anime is Unrealistic,*Cooking Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Plotline of the Hottest Anime Just Spoiled... Riots Ensue,0,0,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,#Manga vs Anime: Protesters in Heated Argument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Extreme Advocates Cut Off Internet during 'Touch Grass' Campaign... Anime Binge Watchers Enraged
Dogs,0,0,0,0,0,0,*Helping Dogs > Helping People,0,0,0,0,0,0,0,0,0,0,0,0,#Enraged Dog Owner Attacks after Stranger Gives Dog Mint Chocolate Chip Ice Cream,#Stranger Sticks a Needle into Owner's Dog,0,0,0,0,0,0,0,0,0,0,0,0,#Dog Actively Ruining a Couple's Relationships,#Major Fight between Dog and Cat Lovers at City Park,0,0,0,0,0,0,0
Sports,#Major fight ensues when a sport enthusiast said Esports is not a real sport,*Sports Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Fight Occurs after Stranger Pisses all over the Sports Arena,0,0,0,0,*Cereal is the Best Food for Athletes,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,0,#Athlete Passes Out of Dehydration after Fan Offers really Salty Chips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking,0,*Cooking Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Stranger Pisses all over the Campfire... Camper Cannot Cook Dinner... Fight Ensues,0,0,0,0,0,0,0,#Person Checks Friend's Temperature with a Temperature Needle while Cooking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#House Burned Down After Chaotic Friend Helps Out in the Kitchen,0,0,0,0
Adrenaline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Needle Person Triggers Victim's Fight Response... Both Critically Injured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helping people,0,0,*Helping Dogs > Helping People,0,0,0,0,0,0,0,0,0,0,0,#What Do You Get When You Place a Person who Helps and a Person who Likes Power in the Same Room... Disaster,0,0,0,0,0,#Good Samaritan Tries Helping Stranger... Gets Stabbed with a Needle Instead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Gambling Individual Gambles with their Life when Meeting the Needle Guy,#Stranger Beaten Up by Gamblers when they Confessing to Passing the Bold Legislative Action that Limits their Gambling Addiction,0,0,0,*Gambling Does Not Belong in Board Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crafting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Skilled Crafter Makes Wooden Needle only to Get Stabbed by their Client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Arts and Crafts Project Ruined by Chaotic Stranger... Fighting Ensues,*Overscoping is NOT Cool According to Crating Enthusiast,0,0,0
Moose tracks ice cream,0,0,0,0,0,0,0,0,0,0,*Vanilla Ice Cream is too Basic,*Sorbet can NEVER Outflavor Ice Cream,0,0,0,0,0,0,0,#Mint Chocolate Chip Enthusiast Ostracized by the Ice Cream Society of Heaven,#Wild person spotted running and waving around needles,0,0,0,*Shrimp Flavored Ice Cream Goes Hard - Moose Tracks Enthusiast Says,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla ice cream,0,0,0,0,0,0,0,0,0,*Vanilla Ice Cream is too Basic,0,*Even a Sorbet Can Outflavor Vanilla Ice Cream,0,0,0,0,0,0,0,#Mint Chocolate Chip and Vanilla Ice Cream Enthusiasts Fight for Best Worst Flavor,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorbet,0,0,0,0,0,0,0,0,0,*Sorbet can NEVER Outflavor Ice Cream,*Even a Sorbet Can Outflavor Vanilla Ice Cream,0,0,0,0,0,0,0,*Sorbet Sucks Because No Milk,*At Least Sorbet Does NOT Taste Like Toothpaste,#Wild person spotted running and waving around needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pissing outdoors,0,0,0,#Fight Occurs after Stranger Pisses all over the Sports Arena,#Stranger Pisses all over the Campfire... Camper Cannot Cook Dinner... Fight Ensues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Stranger Gets Stabbed by a Needle while Pissing in their Garden,#Citizens that Like Pissing Outdoors Outraged when Citizen Proposed Anti-Pissing Outdoor Legislation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Pissing Outdoors is NOT fun during Sweater Weather,0
Feeling tall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#The Only Moment Feeling Tall Sucks... Needle Guy has a Bigger Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power over others,0,0,0,0,0,0,#What Do You Get When You Place a Person who Helps and a Person who Likes Power in the Same Room... Disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,#The Only Person You will NEVER have Power Over is the Needle Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spoiling movies,0,#Plotline of the Hottest Anime Just Spoiled... Riots Ensue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Movie Enthusiasts Take Action Against Movie Spoilers,0,0,0,#Citizen who Likes Spoiling Movies Gets Karma when Trying to Spoil a Movie to the Needle Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Movie Enthusiasts Take Action Against Movie Spoilers,0,0,0,0,#Movie Goers Pricked by Stranger using Needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cereal,0,0,0,*Cereal is the Best Food for Athletes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Stranger Finds a Needle in their Cereal Bowl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Overly Sweet Coffee Can Replace Milk for Cereal,0,0
Milk,0,0,0,0,0,0,0,0,0,0,0,*Sorbet Sucks Because No Milk,0,0,0,0,0,0,0,0,#Stranger Pokes Holes into the Victim's Milk Carton using a Needle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Overly Sweet Coffee is Better than Milk,0,0
Mint Chocolate Chip ice cream,0,0,#Enraged Dog Owner Attacks after Stranger Gives Dog Mint Chocolate Chip Ice Cream,0,0,0,0,0,0,#Mint Chocolate Chip Enthusiast Ostracized by the Ice Cream Society of Heaven,#Mint Chocolate Chip and Vanilla Ice Cream Enthusiasts Fight for Best Worst Flavor,*At Least Sorbet Does NOT Taste Like Toothpaste,0,0,0,0,0,0,0,0,#Citizen Strikes Another with a Needle when Being Force Fed Mint Chocolate Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Needles,#Wild person spotted running and waving around needles,#Alert: Suspicious Person Reported Poking Civilians with Needles,#Stranger Sticks a Needle into Owner's Dog,#Alert: Suspicious Person Reported Poking Civilians with Needles,#Person Checks Friend's Temperature with a Temperature Needle while Cooking,#Needle Person Triggers Victim's Fight Response... Both Critically Injured,#Good Samaritan Tries Helping Stranger... Gets Stabbed with a Needle Instead,#Gambling Individual Gambles with their Life when Meeting the Needle Guy,#Skilled Crafter Makes Wooden Needle only to Get Stabbed by their Client,#Wild person spotted running and waving around needles,#Alert: Suspicious Person Reported Poking Civilians with Needles,#Wild person spotted running and waving around needles,#Stranger Gets Stabbed by a Needle while Pissing in their Garden,#The Only Moment Feeling Tall Sucks... Needle Guy has a Bigger Target,#The Only Person You will NEVER have Power Over is the Needle Guy,#Citizen who Likes Spoiling Movies Gets Karma when Trying to Spoil a Movie to the Needle Guy,#Movie Goers Pricked by Stranger using Needles,#Stranger Finds a Needle in their Cereal Bowl,#Stranger Pokes Holes into the Victim's Milk Carton using a Needle,#Citizen Strikes Another with a Needle when Being Force Fed Mint Chocolate Chip,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,#Wild person spotted running and waving around needles,#Wild person spotted running and waving around needles,#Suspect Pokes at Opponent with a Needle After Losing a Long Game of Monopoly,#Victim Lands on Needle while Jumping Rope in Neighbor's House,0,0,#Needle Guy Faces the Full Force of AMERICA,0,0,#Overly Competitive Citizen Gets Stabbed by Needle Guy,0,#Stranger Sticks a Needle into Owner's Cat,0,0,0,0,#Super Caffeinated Overly Sweet Coffee Enjoyer Overreacts to a Neighbor Carrying Needles,0,#Citizen Gets Stabbed by Needle while Touching Grass
Bad legislation,0,0,0,0,0,0,0,#Stranger Beaten Up by Gamblers when they Confessing to Passing the Bold Legislative Action that Limits their Gambling Addiction,0,0,0,0,#Citizens that Like Pissing Outdoors Outraged when Citizen Proposed Anti-Pissing Outdoor Legislation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#American Patriot Beats Up Bad Legislation Enthusiast,0,0,0,0,0,0,0,0,0,0,0,0
Reading,0,#Manga vs Anime: Protesters in Heated Argument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Really salty chips,0,0,0,#Athlete Passes Out of Dehydration after Fan Offers really Salty Chips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Wild person spotted running and waving around needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp,0,0,0,0,0,0,0,0,0,*Shrimp Flavored Ice Cream Goes Hard - Moose Tracks Enthusiast Says,0,0,0,0,0,0,0,0,0,0,#Wild person spotted running and waving around needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board games,*Board Games > Video Games,0,0,0,0,0,0,*Gambling Does Not Belong in Board Games,0,0,0,0,0,0,0,0,0,0,0,0,#Suspect Pokes at Opponent with a Needle After Losing a Long Game of Monopoly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jump rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Victim Lands on Needle while Jumping Rope in Neighbor's House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Heaven and Hell Enthusiasts Fight For the Better Afterlife,0,0,0,0,0,0
Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICA ðŸ¦…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Needle Guy Faces the Full Force of AMERICA,#American Patriot Beats Up Bad Legislation Enthusiast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaling things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being competitive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Overly Competitive Citizen Gets Stabbed by Needle Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Their partner,#Me or the PS5: partners discuss priorites... solution - divorce,0,#Dog Actively Ruining a Couple's Relationships,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cats,0,0,#Major Fight between Dog and Cat Lovers at City Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Stranger Sticks a Needle into Owner's Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Heaven and Hell Enthusiasts Fight For the Better Afterlife,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flirting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaos,0,0,0,0,#House Burned Down After Chaotic Friend Helps Out in the Kitchen,0,0,0,#Arts and Crafts Project Ruined by Chaotic Stranger... Fighting Ensues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overscoping projects,0,0,0,0,0,0,0,0,*Overscoping is NOT Cool According to Crating Enthusiast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overly sweet coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Overly Sweet Coffee Can Replace Milk for Cereal,*Overly Sweet Coffee is Better than Milk,0,#Super Caffeinated Overly Sweet Coffee Enjoyer Overreacts to a Neighbor Carrying Needles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweater Weather,0,0,0,0,0,0,0,0,0,0,0,0,*Pissing Outdoors is NOT fun during Sweater Weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass,#Gamers forced to touch grass... proceeds to file lawsuits,#Extreme Advocates Cut Off Internet during 'Touch Grass' Campaign... Anime Binge Watchers Enraged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Citizen Gets Stabbed by Needle while Touching Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
